id,scrape_id,last_scraped,source,name,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_location,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
324256,20241214212418,2024-12-15,city scrape,Villa Rustica Moderna en Es Trenc,1659633,Gabo,2012-01-27,"Palma de Mallorca, Spain",N/A,N/A,100%,f,1,1,"['email', 'phone']",t,t,,Campos,,39.40072,3.02327,Entire home,Entire home/apt,8,4.5,4,5,$450.00,t,21,21,22,22,2024-12-15,16,9,0,2013-10-13,2024-09-27,4.75,4.81,4.63,4.44,4.81,4.63,4.63,f,1
961397,20241214212418,2024-12-15,city scrape,Habitación doble con terraza SA,5182659,Marga,2013-02-22,"Sa Pobla, Spain",within an hour,89%,100%,f,3,14,"['email', 'phone']",t,t,"Alaró, Mallorca, Spain",Alaró,,39.70662,2.79085,Private room in bed and breakfast,Private room,2,1,1,2,$58.00,t,27,57,87,356,2024-12-15,10,1,0,2021-08-15,2024-08-22,4.8,4.5,4.9,4.6,4.5,4.9,4.6,t,3
961665,20241214212418,2024-12-15,city scrape,TRADITIONAL HOUSE IN PORTOCOLOM,5223210,Carmen,2013-02-25,"Portocolom, Spain",within an hour,100%,100%,t,1,3,"['email', 'phone']",t,t,,Felanitx,,39.42713,3.26599,Entire home,Entire home/apt,4,2,2,3,$85.00,t,0,0,19,239,2024-12-15,275,51,2,2013-05-15,2024-11-25,4.89,4.9,4.94,4.99,4.98,4.87,4.85,t,1
963031,20241214212418,2024-12-15,city scrape,alquiler casa de campo en llubi,5247683,Gregorio,2013-02-27,"Balearic Islands, Spain",a few days or more,0%,0%,f,1,1,"['email', 'phone']",t,t,,Llubí,,39.68714,3.0348,Entire home,Entire home/apt,2,1,1,1,$145.00,t,28,58,88,363,2024-12-15,28,0,0,2013-05-02,2021-08-19,4.7,4.89,4.82,4.89,4.75,4.68,4.75,f,1
965015,20241214212418,2024-12-15,previous scrape,Casa Pili,5261570,Pilar,2013-02-28,"Felanitx, Spain",N/A,N/A,100%,f,1,1,"['email', 'phone']",t,t,"felanitx, Balearic Islands, Spain",Felanitx,,39.47799,3.18016,Entire cottage,Entire home/apt,12,,6,,,t,0,0,0,0,2024-12-15,13,2,0,2016-07-05,2024-06-25,4.77,4.83,4.46,5,4.92,4.58,4.75,f,1
965939,20241214212418,2024-12-15,city scrape,Apartamento en la Playa con Aire Acondicionado.,3987152,Yeni,2012-10-27,"Catalonia, Spain",within an hour,100%,98%,t,4,13,"['email', 'phone']",t,t,"Palma de Mallorca, Balearic Islands, Spain",Palma de Mallorca,,39.52889,2.73121,Entire rental unit,Entire home/apt,6,2,3,5,$213.00,t,23,53,83,300,2024-12-15,118,7,0,2015-05-04,2024-10-26,4.91,4.92,4.86,4.97,4.94,4.83,4.78,f,3
968110,20241214212418,2024-12-15,city scrape,"VILLA  5min fm sea & restaurants,Bali Tiled Pool.",5282757,Jesús Alberto,2013-03-01,"Alcúdia, Spain",within an hour,100%,100%,t,2,6,"['email', 'phone']",t,t,"Cala d'Or, Santanyi, Baleares, Spain",Santanyí,,39.37164,3.22799,Entire chalet,Entire home/apt,15,3,5,11,$424.00,t,30,60,90,311,2024-12-15,56,9,0,2016-07-31,2024-10-31,4.8,4.89,4.89,4.89,4.91,4.77,4.56,f,2
969046,20241214212418,2024-12-15,city scrape,Cozy country cottage with pool,5290700,Landa,2013-03-02,"Palma de Mallorca, Spain",within an hour,100%,100%,f,1,1,"['email', 'phone']",t,t,,Llucmajor,,39.48361,2.89695,Entire home,Entire home/apt,2,1,1,1,$160.00,t,1,1,1,79,2024-12-15,69,0,0,2013-04-07,2023-10-03,4.86,4.97,4.99,4.93,4.96,4.6,4.78,t,1
979765,20241214212418,2024-12-15,city scrape,"Casa vacacional cerca de la playa, parejas.",5362820,Mª Del Pilar,2013-03-07,"Balearic Islands, Spain",within an hour,100%,100%,,13,19,"['email', 'phone']",t,t,"Felanitx, Illes Balears, Spain",Felanitx,,39.42689,3.26546,Entire home,Entire home/apt,6,2.5,3,4,$130.00,t,22,52,79,288,2024-12-15,27,7,0,2013-08-31,2024-10-31,4.93,5,5,4.96,5,4.96,4.81,f,6
979876,20241214212418,2024-12-15,city scrape,Preciosa casa en Cala Tuent,5084217,Luisa Maria,2013-02-14,,within an hour,100%,100%,t,2,4,"['email', 'phone']",t,t,,Escorca,,39.83875,2.78175,Entire home,Entire home/apt,6,0,2,2,$160.00,t,30,60,90,365,2024-12-15,72,10,0,2013-07-15,2024-11-04,4.76,4.71,4.84,4.84,4.67,4.77,4.69,t,2
